# sw_down lw_down tot_rain tot_snow t wind pstar q
0.0000e+00 2.5170e+02 0.0000e+00 0.0000e+00 2.7147e+02 4.7623e-01 9.6399e+04 3.2647e-03
0.0000e+00 2.6152e+02 0.0000e+00 0.0000e+00 2.7050e+02 1.1122e+00 9.6406e+04 3.0751e-03
0.0000e+00 2.5350e+02 0.0000e+00 0.0000e+00 2.7072e+02 1.2326e+00 9.6413e+04 3.0260e-03
0.0000e+00 2.5064e+02 0.0000e+00 0.0000e+00 2.7034e+02 2.0482e+00 9.6392e+04 2.9248e-03
6.1129e+01 2.5146e+02 0.0000e+00 0.0000e+00 2.7205e+02 3.0387e+00 9.6432e+04 3.0481e-03
2.9297e+02 2.5486e+02 0.0000e+00 0.0000e+00 2.7580e+02 3.1713e+00 9.6312e+04 3.2809e-03
2.0543e+02 2.4202e+02 0.0000e+00 0.0000e+00 2.7581e+02 2.8352e+00 9.6194e+04 3.5739e-03
2.2725e+00 2.3782e+02 0.0000e+00 0.0000e+00 2.7241e+02 3.0061e+00 9.6212e+04 3.1975e-03
0.0000e+00 2.3005e+02 0.0000e+00 0.0000e+00 2.7195e+02 2.7681e+00 9.6238e+04 3.1318e-03
1.8103e-02 2.6115e+02 0.0000e+00 0.0000e+00 2.7214e+02 2.5773e+00 9.6199e+04 3.1926e-03
0.0000e+00 2.6742e+02 0.0000e+00 0.0000e+00 2.7133e+02 2.2788e+00 9.6135e+04 3.0666e-03
0.0000e+00 2.7948e+02 1.9394e-05 0.0000e+00 2.7118e+02 1.9477e+00 9.6150e+04 3.0705e-03
3.2607e+01 2.9203e+02 1.6100e-05 0.0000e+00 2.7273e+02 1.3482e+00 9.6301e+04 3.3864e-03
2.3637e+02 2.8052e+02 0.0000e+00 0.0000e+00 2.7594e+02 8.0091e-01 9.6321e+04 3.9071e-03
1.5036e+02 2.7918e+02 0.0000e+00 0.0000e+00 2.7682e+02 1.4078e+00 9.6367e+04 4.2980e-03
2.0157e+00 2.7685e+02 0.0000e+00 0.0000e+00 2.7419e+02 1.8355e+00 9.6538e+04 3.9635e-03
0.0000e+00 2.8650e+02 0.0000e+00 0.0000e+00 2.7318e+02 1.4891e+00 9.6647e+04 3.8419e-03
1.9314e-02 3.1663e+02 0.0000e+00 0.0000e+00 2.7343e+02 1.2663e+00 9.6656e+04 3.9803e-03
0.0000e+00 3.2230e+02 1.1345e-05 0.0000e+00 2.7199e+02 2.7720e+00 9.6811e+04 3.4285e-03
0.0000e+00 3.2467e+02 2.2496e-05 0.0000e+00 2.7204e+02 2.2836e+00 9.6847e+04 3.5067e-03
7.4392e+00 3.2317e+02 1.9458e-05 0.0000e+00 2.7221e+02 3.5849e+00 9.6961e+04 3.4903e-03
7.3668e+01 3.1098e+02 1.7060e-05 0.0000e+00 2.7296e+02 3.7391e+00 9.6987e+04 3.5806e-03
3.9992e+01 3.1551e+02 1.6716e-05 0.0000e+00 2.7235e+02 2.8183e+00 9.7171e+04 3.3523e-03
1.6985e-01 3.1441e+02 1.4602e-05 1.1341e-05 2.7204e+02 3.1622e+00 9.7261e+04 3.3867e-03
0.0000e+00 3.1375e+02 1.3972e-05 1.4024e-05 2.7184e+02 2.1833e+00 9.7306e+04 3.4064e-03
1.7787e-02 3.1054e+02 1.0877e-05 8.9999e-06 2.7190e+02 1.6985e+00 9.7289e+04 3.4456e-03
